Myrinet,4,0.8,344831,457358,49752
Quadrics,1,0.2,52840,63795,9968
GigabitEthernet,228,45.6,8731644,15990803,1550754
Infiniband,213,42.6,19900311,28290941,2304862
Mixed,1,0.2,66567,82944,13824
NUMAlink,2,0.4,107961,121241,18944
SPSwitch,1,0.2,75760,92781,12208
Proprietary,29,5.8,9748752,13751963,1873123
CrayInterconnect,1,0.2,35200,42598,8192
FatTree,1,0.2,122400,131072,1280
Custom,19,3.8,4486827,5629813,629420
Totals,500,100,43673092.54,64655310.7,6472327
prop total,,,14576900,19769468,
,,,0.33377302,0.305767118,
